"Time","avg(u_rms)"
0.0012,0.00020297798
0.00264,0.00039949197
0.004368,0.00058550533
0.0064416,0.00067528914
0.00892992,0.00067403636
0.0119159,0.00058628094
0.0154991,0.00043484769
0.0197989,0.00030286703
0.0243428,0.0006128614
0.0256039,0.00051387199
0.0270325,0.00055042288
0.0286383,0.00056221133
0.0304525,0.0005336895
0.0325393,0.00051256305
0.0349979,0.00048889385
0.0377783,0.00048673622
0.0409924,0.00047818895
0.0446118,0.0005070623
0.0475941,0.00047270088
0.0502616,0.00046434401
0.0533232,0.00042467897
0.0569344,0.00055702175
0.0578323,0.0004933872
0.0588732,0.00050934409
0.0601137,0.0005615558
0.0616024,0.00056267441
0.0633888,0.00050869648
0.0655324,0.00042874667
0.0680516,0.00039135044
0.0708802,0.00044431472
0.0724202,0.00048552
0.0736262,0.00056047506
0.0746778,0.00061991011
0.0756233,0.00065784696
0.0764965,0.0006982159
0.0773107,0.0007413153
0.0780781,0.00078305895
0.0788072,0.00083253412
0.0795052,0.00088546927
0.0801775,0.00094252539
0.0808281,0.001002725
0.0814599,0.0010651871
0.0820755,0.0011302123
0.0826767,0.0011970378
0.0832655,0.0012652619
0.0838436,0.0013337931
0.0844127,0.0014039557
0.0849741,0.0014757643
0.0855288,0.001549208
0.086078,0.0016238452
0.0866222,0.0016995893
0.0871623,0.0017774507
0.0876987,0.0018568174
0.0882319,0.001937946
0.0887623,0.0020209051
0.0892901,0.0021110242
0.0898175,0.002199706
0.0903425,0.0022918984
0.0908659,0.0023903405
0.0913897,0.0024868741
0.0919115,0.0025903542
0.0924339,0.0026922946
0.0929545,0.0028009314
0.093476,0.0029079763
0.0939957,0.0030230222
0.0945167,0.0031373347
0.095036,0.003259974
0.0955567,0.0033803134
0.0960758,0.003508893
0.0965965,0.0036343099
0.0971164,0.0037689396
0.0976381,0.0039014648
0.0981591,0.0040414928
0.0986822,0.0041856809
0.0992073,0.004328396
0.099731,0.0044794063
0.100257,0.0046362209
0.100785,0.004791926
0.101312,0.0049522903
0.10184,0.0051202038
0.102372,0.0052851731
0.102901,0.0054584257
0.103433,0.0056368005
0.103967,0.0058161074
0.104499,0.0059986512
0.105034,0.0061904767
0.105571,0.0063814792
0.106107,0.0065757869
0.106645,0.0067741159
0.107185,0.0069745686
0.107724,0.0071807125
0.108265,0.0073869971
0.108805,0.0076041632
