"solidJ0:0","solidJ0:1","solidJ0:2","Points:0","Points:1","Points:2"
0.87339592,0,-315.46109,0,-0.077,-0.001
0.87422943,91.247131,-317.04755,0,-0.076749995,-0.001
0.87781709,279.64066,-322.05096,0,-0.076250002,-0.001
0.87781709,279.64066,-322.05096,0,-0.076250002,-0.001
0.88552672,479.84262,-324.58154,0,-0.075749993,-0.001
0.88552672,479.84262,-324.58154,0,-0.075749993,-0.001
0.90047836,696.13879,-290.06268,0,-0.07525,-0.001
0.90047836,696.13879,-290.06268,0,-0.07525,-0.001
0.92983639,913.9657,-189.40361,0,-0.07441406,-0.001
0.92983639,913.9657,-189.40361,0,-0.07441406,-0.001
0.97424126,1079.6842,-77.455711,0,-0.073242188,-0.001
0.97424126,1079.6842,-77.455711,0,-0.073242188,-0.001
1.0245951,1171.3392,-20.777348,0,-0.072070315,-0.001
1.0245951,1171.3392,-20.777348,0,-0.072070315,-0.001
1.0752211,1226.6404,-4.3703322,0,-0.070898436,-0.001
1.0752211,1226.6404,-4.3703322,0,-0.070898436,-0.001
1.1258039,1272.707,3.4113853,0,-0.069726564,-0.001
1.1258039,1272.707,3.4113853,0,-0.069726564,-0.001
1.1762601,1312.0272,9.318716,0,-0.068554685,-0.001
1.1762601,1312.0272,9.318716,0,-0.068554685,-0.001
1.2265415,1344.9474,14.76265,0,-0.067382812,-0.001
1.2265415,1344.9474,14.76265,0,-0.067382812,-0.001
1.2766322,1371.5881,20.044355,0,-0.06621094,-0.001
1.2766322,1371.5881,20.044355,0,-0.06621094,-0.001
1.3265371,1392.0305,25.230213,0,-0.065039061,-0.001
1.3265371,1392.0305,25.230213,0,-0.065039061,-0.001
1.3762522,1406.3438,30.334019,0,-0.063867189,-0.001
1.3762522,1406.3438,30.334019,0,-0.063867189,-0.001
1.4257375,1414.5934,35.356476,0,-0.06269531,-0.001
1.4257375,1414.5934,35.356476,0,-0.06269531,-0.001
1.4749231,1416.8447,40.294182,0,-0.061523438,-0.001
1.4749231,1416.8447,40.294182,0,-0.061523438,-0.001
1.5237454,1413.1655,45.142155,0,-0.060351565,-0.001
1.5237454,1413.1655,45.142155,0,-0.060351565,-0.001
1.5721771,1403.6254,49.894398,0,-0.059179686,-0.001
1.5721771,1403.6254,49.894398,0,-0.059179686,-0.001
1.6202172,1388.298,54.544327,0,-0.058007814,-0.001
1.6202172,1388.298,54.544327,0,-0.058007814,-0.001
1.6678659,1367.2594,59.085358,0,-0.056835935,-0.001
1.6678659,1367.2594,59.085358,0,-0.056835935,-0.001
1.7150984,1340.5879,63.51096,0,-0.055664062,-0.001
1.7150984,1340.5879,63.51096,0,-0.055664062,-0.001
1.761875,1308.3623,67.815048,0,-0.05449219,-0.001
1.761875,1308.3623,67.815048,0,-0.05449219,-0.001
1.8081676,1270.6608,71.992249,0,-0.053320311,-0.001
1.8081676,1270.6608,71.992249,0,-0.053320311,-0.001
1.8539685,1227.5597,76.03804,0,-0.052148439,-0.001
1.8539685,1227.5597,76.03804,0,-0.052148439,-0.001
1.8992816,1179.1296,79.948875,0,-0.05097656,-0.001
1.8992816,1179.1296,79.948875,0,-0.05097656,-0.001
1.9440928,1125.4358,83.721863,0,-0.049804688,-0.001
1.9440928,1125.4358,83.721863,0,-0.049804688,-0.001
1.9883708,1066.5333,87.355011,0,-0.048632815,-0.001
1.9883708,1066.5333,87.355011,0,-0.048632815,-0.001
2.0320835,1002.4666,90.847511,0,-0.047460936,-0.001
2.0320835,1002.4666,90.847511,0,-0.047460936,-0.001
2.0752001,933.26636,94.199852,0,-0.046289064,-0.001
2.0752001,933.26636,94.199852,0,-0.046289064,-0.001
2.1176858,858.9444,97.413757,0,-0.045117185,-0.001
2.1176858,858.9444,97.413757,0,-0.045117185,-0.001
2.1595006,779.49304,100.49176,0,-0.043945312,-0.001
2.1595006,779.49304,100.49176,0,-0.043945312,-0.001
2.2006021,694.87897,103.4373,0,-0.04277344,-0.001
2.2006021,694.87897,103.4373,0,-0.04277344,-0.001
2.2409396,605.04138,106.25467,0,-0.041601561,-0.001
2.2409396,605.04138,106.25467,0,-0.041601561,-0.001
2.2804523,509.88885,108.94883,0,-0.040429689,-0.001
2.2804523,509.88885,108.94883,0,-0.040429689,-0.001
2.3190849,409.2916,111.52539,0,-0.03925781,-0.001
2.3190849,409.2916,111.52539,0,-0.03925781,-0.001
2.3567958,303.08109,113.99044,0,-0.038085938,-0.001
2.3567958,303.08109,113.99044,0,-0.038085938,-0.001
2.3935509,191.03998,116.35059,0,-0.036914065,-0.001
2.3935509,191.03998,116.35059,0,-0.036914065,-0.001
2.4293118,72.89695,118.61267,0,-0.035742186,-0.001
2.4293118,72.89695,118.61267,0,-0.035742186,-0.001
2.4640236,-51.679016,120.78378,0,-0.034570314,-0.001
2.4640236,-51.679016,120.78378,0,-0.034570314,-0.001
2.4975994,-183.09256,122.87138,0,-0.033398435,-0.001
2.4975994,-183.09256,122.87138,0,-0.033398435,-0.001
2.5299196,-321.82687,124.88307,0,-0.032226562,-0.001
2.5299196,-321.82687,124.88307,0,-0.032226562,-0.001
2.5608635,-468.46228,126.82671,0,-0.031054689,-0.001
2.5608635,-468.46228,126.82671,0,-0.031054689,-0.001
2.5903225,-623.68945,128.71082,0,-0.029882813,-0.001
2.5903225,-623.68945,128.71082,0,-0.029882813,-0.001
2.6181793,-788.33203,130.54453,0,-0.028710937,-0.001
2.6181793,-788.33203,130.54453,0,-0.028710937,-0.001
2.6443138,-963.37207,132.33725,0,-0.027539063,-0.001
2.6443138,-963.37207,132.33725,0,-0.027539063,-0.001
2.6686096,-1149.983,134.09917,0,-0.026367188,-0.001
2.6686096,-1149.983,134.09917,0,-0.026367188,-0.001
2.6909065,-1349.5704,135.84151,0,-0.025195312,-0.001
2.6909065,-1349.5704,135.84151,0,-0.025195312,-0.001
