Time,"Points:0","Points:1","Points:2","u_rms"
0.0929545,-0.058499999,-0.097999997,0.029963521,0.0023794202
0.0929545,-0.057772446,-0.097999997,0.029963521,0.001944394
0.0929545,-0.057772446,-0.09729211,0.029963521,0.0014573501
0.0929545,-0.058499999,-0.09729211,0.029963521,0.0015620363
0.0929545,-0.058499999,-0.097999997,0.030913025,0.0046351554
0.0929545,-0.057772446,-0.097999997,0.030913025,0.0034458642
0.0929545,-0.057772446,-0.09729211,0.030913025,0.0021292812
0.0929545,-0.058499999,-0.09729211,0.030913025,0.0033129923
0.0929545,-0.056902427,-0.097999997,0.029963521,0.0029272163
0.0929545,-0.056902427,-0.09729211,0.029963521,0.0016937525
0.0929545,-0.056902427,-0.097999997,0.030913025,0.0021886133
0.0929545,-0.056902427,-0.09729211,0.030913025,0.0012578476
0.0929545,-0.055862043,-0.097999997,0.029963521,0.0028248976
0.0929545,-0.055862043,-0.09729211,0.029963521,0.0016122982
0.0929545,-0.055862043,-0.097999997,0.030913025,0.00097004251
0.0929545,-0.055862043,-0.09729211,0.030913025,0.000768552
0.0929545,-0.054617941,-0.097999997,0.029963521,6.2258015e-05
0.0929545,-0.054617941,-0.09729211,0.029963521,0.00021387851
0.0929545,-0.054617941,-0.097999997,0.030913025,0.0011670425
0.0929545,-0.054617941,-0.09729211,0.030913025,0.0011951129
0.0929545,-0.053130232,-0.097999997,0.029963521,0.0012709545
0.0929545,-0.053130232,-0.09729211,0.029963521,0.0010198582
0.0929545,-0.053130232,-0.097999997,0.030913025,0.0016056715
0.0929545,-0.053130232,-0.09729211,0.030913025,0.0014456811
0.0929545,-0.051351205,-0.097999997,0.029963521,0.00082594731
0.0929545,-0.051351205,-0.09729211,0.029963521,0.00082122092
0.0929545,-0.051351205,-0.097999997,0.030913025,0.0012865306
0.0929545,-0.051351205,-0.09729211,0.030913025,0.0012858989
0.0929545,-0.049223822,-0.097999997,0.029963521,0.00092538976
0.0929545,-0.049223822,-0.09729211,0.029963521,0.00086651552
0.0929545,-0.049223822,-0.097999997,0.030913025,0.0014377834
0.0929545,-0.049223822,-0.09729211,0.030913025,0.0013784134
0.0929545,-0.046679866,-0.097999997,0.029963521,0.0010452509
0.0929545,-0.046679866,-0.09729211,0.029963521,0.00097172122
0.0929545,-0.046679866,-0.097999997,0.030913025,0.0016252558
0.0929545,-0.046679866,-0.09729211,0.030913025,0.0015508133
0.0929545,-0.043637775,-0.097999997,0.029963521,0.00079412488
0.0929545,-0.043637775,-0.09729211,0.029963521,0.00075055112
0.0929545,-0.043637775,-0.097999997,0.030913025,0.0012430827
0.0929545,-0.043637775,-0.09729211,0.030913025,0.0012146804
0.0929545,-0.039999999,-0.097999997,0.029963521,0.00052265929
0.0929545,-0.039999999,-0.09729211,0.029963521,0.00049411118
0.0929545,-0.039999999,-0.097999997,0.030913025,0.00079981757
0.0929545,-0.039999999,-0.09729211,0.030913025,0.00081045658
0.0929545,-0.057772446,-0.096445605,0.029963521,0.00081604466
