8.765816999999999967e-04,8.826861099999999235e-12,1.508986599999999963e-05
8.792440600000000312e-04,5.901331500000000561e-11,1.528608899999999912e-05
8.819736499999999849e-04,1.189682499999999888e-10,1.584486800000000050e-05
8.847742000000000237e-04,1.921382900000000032e-10,1.662474099999999906e-05
8.876959299999999473e-04,2.224699000000000022e-10,1.754122800000000064e-05
8.907727899999999489e-04,7.591841399999999688e-11,1.854891300000000012e-05
8.940964499999999766e-04,2.687862400000000105e-10,1.961351499999999885e-05
8.978614900000000086e-04,2.935310800000000224e-10,2.070554499999999998e-05
9.025673499999999636e-04,3.611307500000000043e-10,2.178782800000000162e-05
9.095480800000000461e-04,3.733263299999999801e-10,2.281659099999999976e-05
9.173392300000000367e-04,3.337960500000000077e-10,2.374301099999999960e-05
9.648420399999999919e-04,3.375022899999999884e-10,2.453413000000000154e-05
1.124179899999999980e-03,7.661984699999999838e-11,2.507993200000000110e-05
2.025359300000000116e-03,2.821052500000000131e-11,2.508972800000000130e-05
1.981727300000000070e-03,1.604313000000000093e-11,2.616734399999999969e-05
1.939021100000000008e-03,4.763748199999999700e-11,2.665768999999999989e-05
1.937186999999999937e-03,5.618740400000000259e-11,2.684381499999999974e-05
1.942574199999999932e-03,3.561593800000000309e-11,2.677774700000000137e-05
2.114800999999999920e-03,1.183064799999999872e-10,2.614520000000000169e-05
1.694535100000000086e-03,3.629517899999999842e-10,2.424203899999999933e-05
9.105609500000000356e-04,2.384937000000000116e-10,2.262543899999999857e-05
6.901926799999999473e-04,1.712407500000000014e-10,2.125783299999999858e-05
