Time,"Minimum"
0.01,0.0040252
0.02,0.0039919
0.11,0.0039558
0.12,0.0039607
0.13,0.0039658
0.14,0.0039707
0.15,0.003975
0.16,0.0039792
0.17,0.003983
0.18,0.0039868
0.19,0.00399
0.2,0.0039931
0.03,0.0039712
0.21,0.0039965
0.22,0.004
0.23,0.0040022
0.24,0.004003
0.25,0.004003
0.26,0.0040023
0.27,0.0040019
0.28,0.0040019
0.29,0.0040022
0.3,0.004003
0.04,0.003957
0.31,0.0040041
0.32,0.0040055
0.33,0.0040072
0.34,0.0040091
0.35,0.0040109
0.36,0.0040123
0.37,0.0040128
0.38,0.0040128
0.39,0.0040131
0.4,0.0040135
0.05,0.0039482
0.41,0.0040139
0.42,0.004014
0.43,0.0040139
0.44,0.0040139
0.45,0.004014
0.46,0.004014
0.47,0.004014
0.48,0.0040139
0.49,0.0040138
0.5,0.0040139
0.06,0.0039438
0.51,0.0040137
0.52,0.0040138
0.53,0.0040137
0.54,0.0040137
0.55,0.0040137
0.56,0.0040137
0.57,0.0040137
0.58,0.0040137
0.59,0.0040138
0.6,0.0040138
0.07,0.0039423
0.61,0.0040138
0.62,0.0040138
0.63,0.0040138
0.64,0.0040138
0.65,0.0040138
0.66,0.0040137
0.67,0.0040137
0.68,0.0040136
0.69,0.0040136
0.7,0.0040136
0.08,0.0039436
0.71,0.0040136
0.72,0.0040137
0.73,0.0040139
0.74,0.0040142
0.75,0.0040145
0.76,0.004015
0.77,0.0040155
0.78,0.004016
0.79,0.0040166
0.8,0.0040173
0.09,0.0039468
0.81,0.0040179
0.82,0.0040186
0.83,0.0040194
0.84,0.0040201
0.85,0.0040208
0.86,0.0040215
0.87,0.0040222
0.88,0.0040228
0.89,0.0040233
0.9,0.0040236
0.1,0.0039513
0.91,0.0040237
0.92,0.0040239
0.93,0.0040241
0.94,0.0040244
0.95,0.0040247
0.96,0.0040249
0.97,0.0040253
0.98,0.0040256
0.99,0.0040258
1,0.004026
