Time,"Minimum"
0.01,0.0040247
0.02,0.0039873
0.11,0.0039436
0.12,0.0039491
0.13,0.0039541
0.14,0.0039589
0.15,0.0039639
0.16,0.0039689
0.17,0.0039735
0.18,0.0039783
0.19,0.0039829
0.2,0.0039875
0.03,0.0039633
0.21,0.0039919
0.22,0.0039961
0.23,0.0039999
0.24,0.0040031
0.25,0.0040037
0.26,0.0040021
0.27,0.0040008
0.28,0.0040001
0.29,0.0039999
0.3,0.004
0.04,0.0039473
0.31,0.0040003
0.32,0.0040009
0.33,0.004002
0.34,0.0040035
0.35,0.0040054
0.36,0.0040075
0.37,0.0040095
0.38,0.0040111
0.39,0.004012
0.4,0.0040121
0.05,0.0039358
0.41,0.0040124
0.42,0.004013
0.43,0.0040135
0.44,0.0040138
0.45,0.0040138
0.46,0.0040138
0.47,0.0040141
0.48,0.0040142
0.49,0.0040143
0.5,0.0040143
0.06,0.0039303
0.51,0.0040143
0.52,0.0040144
0.53,0.0040144
0.54,0.0040145
0.55,0.0040144
0.56,0.0040145
0.57,0.0040144
0.58,0.0040145
0.59,0.0040144
0.6,0.0040144
0.07,0.0039293
0.61,0.0040143
0.62,0.0040143
0.63,0.0040142
0.64,0.0040141
0.65,0.0040141
0.66,0.004014
0.67,0.0040138
0.68,0.0040137
0.69,0.0040135
0.7,0.0040133
0.08,0.0039314
0.71,0.0040132
0.72,0.0040132
0.73,0.0040133
0.74,0.0040135
0.75,0.0040138
0.76,0.0040142
0.77,0.0040146
0.78,0.0040151
0.79,0.0040157
0.8,0.0040163
0.09,0.0039345
0.81,0.004017
0.82,0.0040177
0.83,0.0040185
0.84,0.0040192
0.85,0.0040198
0.86,0.0040205
0.87,0.0040208
0.88,0.0040211
0.89,0.0040213
0.9,0.0040216
0.1,0.0039386
0.91,0.0040219
0.92,0.0040223
0.93,0.0040228
0.94,0.0040232
0.95,0.0040236
0.96,0.0040241
0.97,0.0040246
0.98,0.0040251
0.99,0.0040256
1,0.0040261
