Time,"Minimum"
0.01,0.0040226
0.02,0.0039679
0.11,0.0038871
0.12,0.0038947
0.13,0.0039024
0.14,0.00391
0.15,0.0039149
0.16,0.0039201
0.17,0.0039253
0.18,0.0039309
0.19,0.0039369
0.2,0.0039433
0.03,0.0039293
0.21,0.00395
0.22,0.0039566
0.23,0.003963
0.24,0.0039693
0.25,0.0039757
0.26,0.0039817
0.27,0.003979
0.28,0.0039743
0.29,0.0039706
0.3,0.003968
0.04,0.0039023
0.31,0.0039663
0.32,0.0039657
0.33,0.0039661
0.34,0.0039675
0.35,0.0039699
0.36,0.0039719
0.37,0.0039747
0.38,0.0039783
0.39,0.0039826
0.4,0.0039874
0.05,0.0038835
0.41,0.0039908
0.42,0.0039932
0.43,0.0039937
0.44,0.0039946
0.45,0.0039959
0.46,0.0039971
0.47,0.0039977
0.48,0.0039979
0.49,0.0039981
0.5,0.0039989
0.06,0.0038723
0.51,0.0039993
0.52,0.0039998
0.53,0.0040001
0.54,0.0040004
0.55,0.0040012
0.56,0.0040015
0.57,0.0040022
0.58,0.0040026
0.59,0.0040032
0.6,0.0040039
0.07,0.0038683
0.61,0.0040045
0.62,0.0040053
0.63,0.0040059
0.64,0.0040068
0.65,0.0040074
0.66,0.0040081
0.67,0.0040086
0.68,0.0040092
0.69,0.0040097
0.7,0.0040099
0.08,0.0038691
0.71,0.0040102
0.72,0.0040104
0.73,0.0040104
0.74,0.0040103
0.75,0.00401
0.76,0.0040093
0.77,0.0040083
0.78,0.0040075
0.79,0.0040068
0.8,0.0040063
0.09,0.0038736
0.81,0.004006
0.82,0.0040059
0.83,0.004006
0.84,0.0040063
0.85,0.0040067
0.86,0.0040074
0.87,0.0040083
0.88,0.0040093
0.89,0.0040104
0.9,0.0040112
0.1,0.0038803
0.91,0.0040121
0.92,0.0040131
0.93,0.0040141
0.94,0.0040151
0.95,0.0040163
0.96,0.0040174
0.97,0.0040186
0.98,0.0040199
0.99,0.0040212
1,0.0040225
