Time,"Minimum"
0.01,0.004025
0.02,0.003989
0.11,0.0039308
0.12,0.0039345
0.13,0.0039388
0.14,0.0039428
0.15,0.0039472
0.16,0.0039515
0.17,0.0039561
0.18,0.0039606
0.19,0.003965
0.2,0.0039697
0.03,0.0039629
0.21,0.0039746
0.22,0.0039799
0.23,0.0039854
0.24,0.0039906
0.25,0.0039956
0.26,0.0040008
0.27,0.0040036
0.28,0.0040056
0.29,0.0040074
0.3,0.0040088
0.04,0.0039456
0.31,0.00401
0.32,0.0040101
0.33,0.0040092
0.34,0.0040085
0.35,0.0040079
0.36,0.0040074
0.37,0.0040069
0.38,0.0040063
0.39,0.0040059
0.4,0.0040057
0.05,0.0039333
0.41,0.0040055
0.42,0.0040056
0.43,0.0040061
0.44,0.0040069
0.45,0.0040079
0.46,0.0040093
0.47,0.004011
0.48,0.0040124
0.49,0.0040138
0.5,0.0040146
0.06,0.0039263
0.51,0.0040144
0.52,0.0040141
0.53,0.0040137
0.54,0.0040133
0.55,0.0040129
0.56,0.0040125
0.57,0.0040119
0.58,0.0040113
0.59,0.0040107
0.6,0.0040101
0.07,0.003923
0.61,0.0040094
0.62,0.0040087
0.63,0.004008
0.64,0.0040073
0.65,0.0040067
0.66,0.004006
0.67,0.0040053
0.68,0.0040047
0.69,0.0040043
0.7,0.0040042
0.08,0.0039228
0.71,0.0040043
0.72,0.0040046
0.73,0.0040052
0.74,0.0040061
0.75,0.0040072
0.76,0.0040085
0.77,0.00401
0.78,0.0040116
0.79,0.0040134
0.8,0.0040153
0.09,0.0039246
0.81,0.0040172
0.82,0.0040192
0.83,0.0040211
0.84,0.0040231
0.85,0.0040236
0.86,0.0040233
0.87,0.0040231
0.88,0.0040228
0.89,0.0040226
0.9,0.0040225
0.1,0.0039278
0.91,0.0040226
0.92,0.0040227
0.93,0.0040229
0.94,0.0040232
0.95,0.0040236
0.96,0.0040241
0.97,0.0040247
0.98,0.0040254
0.99,0.0040259
1,0.004026
