Time,"Minimum"
0.01,0.0040041
0.02,0.0037129
0.11,0.0031214
1.01,0.0030256
1.02,0.0029782
1.03,0.0029522
1.04,0.0029266
1.05,0.0029011
1.06,0.0028803
1.07,0.0028651
1.08,0.0028513
1.09,0.0028301
1.1,0.0027986
0.12,0.0032557
1.11,0.0027713
1.12,0.002747
1.13,0.0027258
1.14,0.0027073
1.15,0.002691
1.16,0.0026761
1.17,0.002664
1.18,0.002652
1.19,0.0026371
1.2,0.0026246
0.13,0.0033983
1.21,0.0026142
1.22,0.0026055
1.23,0.0025888
1.24,0.002458
1.25,0.0022768
0.14,0.003339
0.15,0.0032117
0.16,0.0031409
0.17,0.0031281
0.18,0.003165
0.19,0.0032454
0.2,0.0033634
0.03,0.0034137
0.21,0.0035073
0.22,0.0035108
0.23,0.0035064
0.24,0.0034839
0.25,0.0034784
0.26,0.003486
0.27,0.0034994
0.28,0.0035148
0.29,0.0035331
0.3,0.0035495
0.04,0.0030972
0.31,0.0035691
0.32,0.0035906
0.33,0.0036168
0.34,0.0036402
0.35,0.0036627
0.36,0.0036786
0.37,0.0036887
0.38,0.0037017
0.39,0.0037161
0.4,0.0037248
0.05,0.0029061
0.41,0.0037322
0.42,0.0037373
0.43,0.0037397
0.44,0.0037399
0.45,0.0037362
0.46,0.0037319
0.47,0.0037267
0.48,0.0037205
0.49,0.0037132
0.5,0.0037048
0.06,0.0028177
0.51,0.0036953
0.52,0.0036852
0.53,0.0036748
0.54,0.0036642
0.55,0.0036538
0.56,0.0036437
0.57,0.0036342
0.58,0.0036253
0.59,0.0036161
0.6,0.0036055
0.07,0.0028018
0.61,0.0035953
0.62,0.0035857
0.63,0.0035766
0.64,0.0035681
0.65,0.0035602
0.66,0.0035524
0.67,0.0035415
0.68,0.0035308
0.69,0.0035237
0.7,0.0035204
0.08,0.0028418
0.71,0.003514
0.72,0.0035053
0.73,0.0034961
0.74,0.0034862
0.75,0.0034751
0.76,0.0034542
0.77,0.0034279
0.78,0.0033946
0.79,0.003352
0.8,0.0032945
0.09,0.0029212
0.81,0.0032189
0.82,0.003176
0.83,0.0031614
0.84,0.0031418
0.85,0.0031176
0.86,0.0031007
0.87,0.0030972
0.88,0.0030967
0.89,0.0030968
0.9,0.0030956
0.1,0.0030123
0.91,0.0031501
0.92,0.0030932
0.93,0.0031007
0.94,0.0031028
0.95,0.0031071
0.96,0.0030994
0.97,0.0030995
0.98,0.0030961
0.99,0.0030749
1,0.0030525
