Time,"Minimum"
0.01,0.0040214
0.02,0.0039613
0.11,0.0038768
0.12,0.0038858
0.13,0.0038943
0.14,0.0039017
0.15,0.0039067
0.16,0.0039117
0.17,0.0039167
0.18,0.0039219
0.19,0.003928
0.2,0.003934
0.03,0.0039189
0.21,0.0039401
0.22,0.0039465
0.23,0.0039534
0.24,0.0039607
0.25,0.0039683
0.26,0.0039756
0.27,0.0039709
0.28,0.0039637
0.29,0.0039581
0.3,0.0039541
0.04,0.0038895
0.31,0.0039516
0.32,0.0039507
0.33,0.0039512
0.34,0.003953
0.35,0.0039556
0.36,0.0039581
0.37,0.0039617
0.38,0.0039662
0.39,0.0039715
0.4,0.0039774
0.05,0.0038697
0.41,0.0039817
0.42,0.0039849
0.43,0.0039862
0.44,0.0039872
0.45,0.0039888
0.46,0.0039906
0.47,0.0039912
0.48,0.0039919
0.49,0.0039921
0.5,0.0039929
0.06,0.0038578
0.51,0.0039937
0.52,0.0039942
0.53,0.0039948
0.54,0.0039951
0.55,0.0039959
0.56,0.0039965
0.57,0.0039971
0.58,0.0039978
0.59,0.0039985
0.6,0.0039995
0.07,0.003854
0.61,0.0040001
0.62,0.0040011
0.63,0.0040018
0.64,0.0040027
0.65,0.0040035
0.66,0.0040044
0.67,0.0040052
0.68,0.0040058
0.69,0.0040065
0.7,0.004007
0.08,0.0038553
0.71,0.0040075
0.72,0.0040079
0.73,0.0040081
0.74,0.0040082
0.75,0.0040081
0.76,0.0040077
0.77,0.0040067
0.78,0.0040056
0.79,0.0040047
0.8,0.004004
0.09,0.0038608
0.81,0.0040034
0.82,0.0040031
0.83,0.0040031
0.84,0.0040032
0.85,0.0040034
0.86,0.0040037
0.87,0.0040042
0.88,0.0040049
0.89,0.0040058
0.9,0.004007
0.1,0.0038687
0.91,0.0040083
0.92,0.0040095
0.93,0.0040109
0.94,0.0040122
0.95,0.0040136
0.96,0.004015
0.97,0.0040164
0.98,0.0040179
0.99,0.0040195
1,0.0040211
