Time,"Minimum"
0.01,0.0040274
0.02,0.0040021
0.11,0.0039588
0.12,0.0039609
0.13,0.0039636
0.14,0.0039663
0.15,0.0039692
0.16,0.0039724
0.17,0.0039756
0.18,0.0039792
0.19,0.0039828
0.2,0.0039865
0.03,0.0039849
0.21,0.0039904
0.22,0.0039942
0.23,0.0039978
0.24,0.0040012
0.25,0.0040047
0.26,0.004008
0.27,0.0040096
0.28,0.0040111
0.29,0.0040122
0.3,0.0040133
0.04,0.0039729
0.31,0.0040143
0.32,0.0040151
0.33,0.0040157
0.34,0.0040163
0.35,0.0040169
0.36,0.004017
0.37,0.004017
0.38,0.004017
0.39,0.0040171
0.4,0.0040172
0.05,0.0039641
0.41,0.0040174
0.42,0.0040177
0.43,0.0040181
0.44,0.0040188
0.45,0.0040186
0.46,0.0040185
0.47,0.0040183
0.48,0.0040181
0.49,0.0040178
0.5,0.0040176
0.06,0.003959
0.51,0.0040174
0.52,0.0040171
0.53,0.0040168
0.54,0.0040166
0.55,0.0040162
0.56,0.004016
0.57,0.0040157
0.58,0.0040154
0.59,0.0040151
0.6,0.0040148
0.07,0.0039561
0.61,0.0040146
0.62,0.0040143
0.63,0.0040141
0.64,0.0040138
0.65,0.0040136
0.66,0.0040134
0.67,0.0040133
0.68,0.0040132
0.69,0.0040131
0.7,0.0040132
0.08,0.0039552
0.71,0.0040133
0.72,0.0040136
0.73,0.004014
0.74,0.0040145
0.75,0.0040151
0.76,0.0040158
0.77,0.0040166
0.78,0.0040175
0.79,0.0040185
0.8,0.0040196
0.09,0.0039556
0.81,0.0040206
0.82,0.0040217
0.83,0.0040229
0.84,0.004024
0.85,0.004025
0.86,0.0040251
0.87,0.0040252
0.88,0.0040252
0.89,0.0040251
0.9,0.0040251
0.1,0.0039572
0.91,0.0040252
0.92,0.0040253
0.93,0.0040254
0.94,0.0040257
0.95,0.004026
0.96,0.0040262
0.97,0.0040263
0.98,0.0040264
0.99,0.0040265
1,0.0040265
