Time,"Minimum"
0.01,0.0040018
0.02,0.0037032
0.11,0.0033042
0.12,0.0034199
0.13,0.0035314
0.14,0.0033732
0.15,0.003345
0.16,0.0033608
0.17,0.0033556
0.18,0.0033865
0.19,0.0034499
0.2,0.0034999
0.03,0.0034607
0.21,0.0035109
0.22,0.0035227
0.23,0.0035452
0.24,0.0035715
0.25,0.0035969
0.26,0.0036156
0.27,0.0036312
0.28,0.0036461
0.29,0.0036577
0.3,0.0036696
0.04,0.0032326
0.31,0.003683
0.32,0.0036983
0.33,0.0037128
0.34,0.0037272
0.35,0.0037422
0.36,0.0037617
0.37,0.0037769
0.38,0.0037954
0.39,0.0038112
0.4,0.0038275
0.05,0.0031004
0.41,0.0038461
0.42,0.0038601
0.43,0.0038757
0.44,0.0038926
0.45,0.0039105
0.46,0.003916
0.47,0.003916
0.48,0.0039157
0.49,0.0039105
0.5,0.0039017
0.06,0.0030404
0.51,0.0038938
0.52,0.0038873
0.53,0.0038822
0.54,0.0038785
0.55,0.0038765
0.56,0.0038763
0.57,0.0038779
0.58,0.0038811
0.59,0.003886
0.6,0.0038922
0.07,0.0030376
0.61,0.0038996
0.62,0.0039079
0.63,0.0039169
0.64,0.0039267
0.65,0.0039292
0.66,0.0039279
0.67,0.003927
0.68,0.0039252
0.69,0.0039245
0.7,0.003923
0.08,0.0030773
0.71,0.0039218
0.72,0.0039214
0.73,0.0039211
0.74,0.003921
0.75,0.003921
0.76,0.003921
0.77,0.0039202
0.78,0.0039198
0.79,0.0039205
0.8,0.0039222
0.09,0.0031403
0.81,0.0039246
0.82,0.0039275
0.83,0.0039289
0.84,0.0039295
0.85,0.0039331
0.86,0.003934
0.87,0.0039341
0.88,0.0039337
0.89,0.0039353
0.9,0.0039353
0.1,0.00321
0.91,0.0039331
0.92,0.0039317
0.93,0.0039328
0.94,0.0039335
0.95,0.0039337
0.96,0.003933
0.97,0.0039346
0.98,0.0039312
0.99,0.0039305
1,0.0039313
