Time,"Minimum"
0.01,0.0040272
0.02,0.0040015
0.11,0.0039672
0.12,0.0039703
0.13,0.0039732
0.14,0.0039764
0.15,0.0039794
0.16,0.0039823
0.17,0.0039854
0.18,0.0039885
0.19,0.0039914
0.2,0.0039941
0.03,0.0039852
0.21,0.0039966
0.22,0.0039988
0.23,0.0040006
0.24,0.0040022
0.25,0.0040038
0.26,0.0040058
0.27,0.0040079
0.28,0.0040101
0.29,0.0040123
0.3,0.0040132
0.04,0.0039736
0.31,0.004014
0.32,0.0040149
0.33,0.0040157
0.34,0.0040163
0.35,0.0040167
0.36,0.0040171
0.37,0.0040175
0.38,0.0040177
0.39,0.0040178
0.4,0.0040179
0.05,0.0039663
0.41,0.004018
0.42,0.0040181
0.43,0.004018
0.44,0.0040181
0.45,0.0040179
0.46,0.0040178
0.47,0.0040179
0.48,0.0040177
0.49,0.0040176
0.5,0.0040174
0.06,0.0039626
0.51,0.0040173
0.52,0.0040172
0.53,0.004017
0.54,0.0040168
0.55,0.0040166
0.56,0.0040164
0.57,0.0040162
0.58,0.004016
0.59,0.0040158
0.6,0.0040156
0.07,0.0039607
0.61,0.0040154
0.62,0.0040152
0.63,0.004015
0.64,0.0040148
0.65,0.0040146
0.66,0.0040145
0.67,0.0040143
0.68,0.0040142
0.69,0.0040142
0.7,0.0040143
0.08,0.0039609
0.71,0.0040144
0.72,0.0040145
0.73,0.0040148
0.74,0.0040152
0.75,0.0040157
0.76,0.0040162
0.77,0.0040168
0.78,0.0040175
0.79,0.0040183
0.8,0.0040191
0.09,0.0039623
0.81,0.00402
0.82,0.0040209
0.83,0.0040218
0.84,0.0040227
0.85,0.0040236
0.86,0.0040237
0.87,0.0040237
0.88,0.0040237
0.89,0.0040237
0.9,0.0040237
0.1,0.0039644
0.91,0.0040237
0.92,0.0040238
0.93,0.0040238
0.94,0.0040239
0.95,0.0040239
0.96,0.004024
0.97,0.0040242
0.98,0.0040243
0.99,0.0040245
1,0.0040247
