Time,"Minimum"
0.01,0.0040258
0.02,0.0039917
0.11,0.0039419
0.12,0.0039462
0.13,0.0039498
0.14,0.0039539
0.15,0.0039578
0.16,0.0039617
0.17,0.0039659
0.18,0.00397
0.19,0.0039743
0.2,0.0039788
0.03,0.0039682
0.21,0.0039832
0.22,0.0039877
0.23,0.0039921
0.24,0.0039964
0.25,0.0040003
0.26,0.0039993
0.27,0.0039972
0.28,0.0039957
0.29,0.0039948
0.3,0.0039946
0.04,0.0039526
0.31,0.0039949
0.32,0.0039952
0.33,0.0039959
0.34,0.0039971
0.35,0.0039987
0.36,0.0040007
0.37,0.004003
0.38,0.0040046
0.39,0.0040064
0.4,0.0040066
0.05,0.0039407
0.41,0.0040067
0.42,0.0040072
0.43,0.0040081
0.44,0.0040083
0.45,0.0040086
0.46,0.0040086
0.47,0.0040088
0.48,0.0040092
0.49,0.0040092
0.5,0.0040095
0.06,0.0039342
0.51,0.0040095
0.52,0.0040098
0.53,0.0040101
0.54,0.0040104
0.55,0.0040107
0.56,0.004011
0.57,0.0040115
0.58,0.0040118
0.59,0.0040123
0.6,0.0040127
0.07,0.003932
0.61,0.0040132
0.62,0.0040136
0.63,0.0040141
0.64,0.0040144
0.65,0.0040149
0.66,0.0040152
0.67,0.0040156
0.68,0.004016
0.69,0.0040162
0.7,0.0040165
0.08,0.0039329
0.71,0.0040166
0.72,0.0040166
0.73,0.0040166
0.74,0.0040167
0.75,0.0040167
0.76,0.0040168
0.77,0.0040169
0.78,0.0040171
0.79,0.0040172
0.8,0.0040174
0.09,0.0039353
0.81,0.0040177
0.82,0.004018
0.83,0.0040183
0.84,0.0040186
0.85,0.004019
0.86,0.004019
0.87,0.004019
0.88,0.0040192
0.89,0.0040194
0.9,0.0040197
0.1,0.0039382
0.91,0.00402
0.92,0.0040204
0.93,0.0040208
0.94,0.0040213
0.95,0.0040218
0.96,0.0040223
0.97,0.0040229
0.98,0.0040234
0.99,0.004024
1,0.0040245
