Time,"Minimum"
0.01,0.0040263
0.02,0.0039972
0.11,0.0039615
0.12,0.0039654
0.13,0.0039694
0.14,0.0039734
0.15,0.0039772
0.16,0.0039807
0.17,0.003984
0.18,0.0039872
0.19,0.0039901
0.2,0.003993
0.03,0.003979
0.21,0.0039962
0.22,0.0039992
0.23,0.0040015
0.24,0.0040025
0.25,0.0040033
0.26,0.0040032
0.27,0.004003
0.28,0.0040031
0.29,0.0040035
0.3,0.0040042
0.04,0.0039663
0.31,0.0040053
0.32,0.0040067
0.33,0.0040083
0.34,0.0040102
0.35,0.0040113
0.36,0.0040122
0.37,0.0040122
0.38,0.0040122
0.39,0.0040125
0.4,0.004013
0.05,0.0039584
0.41,0.004013
0.42,0.004013
0.43,0.0040128
0.44,0.0040128
0.45,0.0040129
0.46,0.0040128
0.47,0.0040128
0.48,0.0040127
0.49,0.0040127
0.5,0.0040127
0.06,0.0039538
0.51,0.0040127
0.52,0.0040127
0.53,0.0040127
0.54,0.0040129
0.55,0.004013
0.56,0.0040132
0.57,0.0040133
0.58,0.0040135
0.59,0.0040137
0.6,0.004014
0.07,0.003952
0.61,0.0040142
0.62,0.0040145
0.63,0.0040148
0.64,0.0040151
0.65,0.0040153
0.66,0.0040156
0.67,0.0040158
0.68,0.0040161
0.69,0.0040164
0.7,0.0040166
0.08,0.0039525
0.71,0.0040169
0.72,0.0040172
0.73,0.0040175
0.74,0.0040178
0.75,0.0040181
0.76,0.0040184
0.77,0.0040188
0.78,0.0040192
0.79,0.0040196
0.8,0.0040199
0.09,0.0039547
0.81,0.0040203
0.82,0.0040207
0.83,0.0040211
0.84,0.0040214
0.85,0.0040216
0.86,0.0040218
0.87,0.0040219
0.88,0.004022
0.89,0.0040222
0.9,0.0040223
0.1,0.0039581
0.91,0.0040226
0.92,0.0040228
0.93,0.0040231
0.94,0.0040233
0.95,0.0040237
0.96,0.004024
0.97,0.0040243
0.98,0.0040244
0.99,0.0040245
1,0.0040246
