Time,"Minimum"
0.01,0.0040061
0.02,0.0038038
0.11,0.0033104
0.12,0.0032834
0.13,0.0033076
0.14,0.0033612
0.15,0.0034417
0.16,0.0034996
0.17,0.003533
0.18,0.0035728
0.19,0.0035638
0.2,0.0035698
0.03,0.00365
0.21,0.0035986
0.22,0.0036199
0.23,0.0036283
0.24,0.0036335
0.25,0.0036416
0.26,0.0036462
0.27,0.0036656
0.28,0.0036926
0.29,0.0037155
0.3,0.0037397
0.04,0.0035269
0.31,0.0037602
0.32,0.0037756
0.33,0.0037865
0.34,0.0037976
0.35,0.0038098
0.36,0.0038224
0.37,0.0038342
0.38,0.0038455
0.39,0.0038565
0.4,0.0038701
0.05,0.0034481
0.41,0.0038828
0.42,0.003893
0.43,0.0038998
0.44,0.0039068
0.45,0.003915
0.46,0.0039213
0.47,0.0039269
0.48,0.0039303
0.49,0.0039343
0.5,0.0039353
0.06,0.0033956
0.51,0.0039323
0.52,0.0039288
0.53,0.0039223
0.54,0.0039153
0.55,0.0039084
0.56,0.0039021
0.57,0.0038969
0.58,0.003893
0.59,0.0038902
0.6,0.0038891
0.07,0.0033333
0.61,0.0038896
0.62,0.0038918
0.63,0.0038958
0.64,0.0039014
0.65,0.0039084
0.66,0.0039166
0.67,0.0039253
0.68,0.0039322
0.69,0.0039342
0.7,0.0039372
0.08,0.0032931
0.71,0.0039354
0.72,0.0039327
0.73,0.0039377
0.74,0.0039451
0.75,0.0039466
0.76,0.0039432
0.77,0.0039376
0.78,0.0039383
0.79,0.0039369
0.8,0.0039365
0.09,0.0032978
0.81,0.0039371
0.82,0.0039388
0.83,0.0039299
0.84,0.0039253
0.85,0.0039266
0.86,0.0039272
0.87,0.0039278
0.88,0.0039284
0.89,0.0039293
0.9,0.0039299
0.1,0.0033431
0.91,0.0039303
0.92,0.0039306
0.93,0.0039309
0.94,0.0039312
0.95,0.0039314
0.96,0.0039317
0.97,0.0039318
0.98,0.0039314
0.99,0.0039325
1,0.0039326
