Time,"Minimum"
0.01,0.0040041
0.02,0.0037215
0.11,0.00308
0.12,0.0032021
0.13,0.0033459
0.14,0.0033209
0.15,0.003233
0.16,0.0032105
0.17,0.003246
0.18,0.0033271
0.19,0.003387
0.2,0.0034565
0.03,0.0034414
0.21,0.0034807
0.22,0.0034883
0.23,0.0035179
0.24,0.0035544
0.25,0.0035827
0.26,0.003605
0.27,0.0036256
0.28,0.0036425
0.29,0.0036535
0.3,0.0036681
0.04,0.0031498
0.31,0.0036773
0.32,0.0036898
0.33,0.0037073
0.34,0.0037274
0.35,0.0037443
0.36,0.0037645
0.37,0.0037837
0.38,0.0037991
0.39,0.0038163
0.4,0.0038307
0.05,0.0029629
0.41,0.0038459
0.42,0.0038614
0.43,0.0038745
0.44,0.0038888
0.45,0.0039037
0.46,0.0039118
0.47,0.003898
0.48,0.0038842
0.49,0.0038711
0.5,0.0038593
0.06,0.0028622
0.51,0.0038489
0.52,0.0038406
0.53,0.003834
0.54,0.0038299
0.55,0.0038283
0.56,0.003829
0.57,0.0038323
0.58,0.003838
0.59,0.0038458
0.6,0.0038554
0.07,0.0028261
0.61,0.0038664
0.62,0.0038787
0.63,0.0038919
0.64,0.0039058
0.65,0.0039203
0.66,0.0039323
0.67,0.0039284
0.68,0.0039248
0.69,0.0039225
0.7,0.0039174
0.08,0.0028461
0.71,0.0039135
0.72,0.0039106
0.73,0.0039071
0.74,0.0039042
0.75,0.0039019
0.76,0.0039009
0.77,0.0039004
0.78,0.0039007
0.79,0.0039017
0.8,0.0039036
0.09,0.0029075
0.81,0.0039067
0.82,0.0039109
0.83,0.0039159
0.84,0.0039216
0.85,0.0039282
0.86,0.0039324
0.87,0.0039329
0.88,0.0039336
0.89,0.0039302
0.9,0.0039285
0.1,0.0029862
0.91,0.0039303
0.92,0.0039293
0.93,0.0039281
0.94,0.0039281
0.95,0.0039275
0.96,0.0039279
0.97,0.0039287
0.98,0.0039295
0.99,0.0039294
1,0.0039298
